,precision,recall,f1-score,support
crazing,1.0,1.0,1.0,60.0
inclusion,1.0,0.95,0.9743589743589743,60.0
patches,1.0,1.0,1.0,60.0
pitted_surface,1.0,1.0,1.0,60.0
rolled-in_scale,1.0,1.0,1.0,60.0
scratches,0.9523809523809523,1.0,0.975609756097561,60.0
accuracy,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667
macro avg,0.9920634920634921,0.9916666666666667,0.9916614550760893,360.0
weighted avg,0.992063492063492,0.9916666666666667,0.9916614550760892,360.0
